portfolio,2p_expected_return, 2p_sharpe_ratio, 2p_volatility,4p_expected_return, 4p_sharpe_ratio, 4p_volatility,maxS_expected_return, maxS_sharpe_ratio, maxS_volatility,minV_expected_return, minV_sharpe_ratio, minV_volatility
GB00BD3RZ368_GB00BD3RZ582_GB00B45Q9038,0.0670757687534,0.573690166691,0.0820578275288GB00BD3RZ368_GB00BD3RZ582_GB00B45Q9038,0.0670752749854,0.573684149753,0.0820578274747GB00BD3RZ368_GB00BD3RZ582_GB00B45Q9038,0.0737508454829,0.634490213673,0.0847150110822GB00BD3RZ368_GB00BD3RZ582_GB00B45Q9038,0.0709075649429,0.60399614944,0.0842845852414
GB00B5B71H80_IE00B50MZ948_IE00BH65QH62,0.00983033358698,-0.50848331792,0.0200000001074GB00B5B71H80_IE00B50MZ948_IE00BH65QH62,0.017248418201,-0.0687895438572,0.0400000006493GB00B5B71H80_IE00B50MZ948_IE00BH65QH62,0.0317602079192,0.138304289723,0.0850314038905GB00B5B71H80_IE00B50MZ948_IE00BH65QH62,0.0278491803408,0.103315261644,0.0759730964803
IE00B50MZ724_IE00B50MZ948_GB00B4M89245,0.0563094953705,0.411725703918,0.0881885561793IE00B50MZ724_IE00B50MZ948_GB00B4M89245,0.0563093502428,0.411724058463,0.0881885561374IE00B50MZ724_IE00B50MZ948_GB00B4M89245,0.0595977077007,0.412928900853,0.0958947354348IE00B50MZ724_IE00B50MZ948_GB00B4M89245,0.0551846978608,0.348069205393,0.101085351176
IE00B50MZ724_IE00B523L313_IE00BFRTDB69,0.0205814293178,0.0208667413829,0.027863925044IE00B50MZ724_IE00B523L313_IE00BFRTDB69,0.0399082896123,0.497707239918,0.0400000000312IE00B50MZ724_IE00B523L313_IE00BFRTDB69,0.0689054094339,0.580446503181,0.0842548092991IE00B50MZ724_IE00B523L313_IE00BFRTDB69,0.0651087046549,0.537708005619,0.0838907068214
IE00B3X1NT05_GB00B4M89245_IE00B9M1BB17,0.0200423162395,0.00186701038945,0.0226652405214IE00B3X1NT05_GB00B4M89245_IE00B9M1BB17,0.0387967698658,0.469919225587,0.0400000017924IE00B3X1NT05_GB00B4M89245_IE00B9M1BB17,0.0527996955002,0.532414708329,0.0616055397929IE00B3X1NT05_GB00B4M89245_IE00B9M1BB17,0.0506052808786,0.526883615148,0.0580873650247
GB00BD3RZ368_GB00B4M89245_IE00B1S75374,0.0382649039922,0.333032738676,0.0548441695697GB00BD3RZ368_GB00B4M89245_IE00B1S75374,0.0382647992576,0.333030829097,0.0548441695537GB00BD3RZ368_GB00B4M89245_IE00B1S75374,0.0468226629972,0.406500095304,0.0659843953471GB00BD3RZ368_GB00B4M89245_IE00B1S75374,0.0458776224212,0.396828300212,0.0652111313819
IE00BH65QH62_IE00BFRTDB69_IE00B1S74Q32,0.0126285907844,-0.368570448836,0.020000000648IE00BH65QH62_IE00BFRTDB69_IE00B1S74Q32,0.0264158497303,0.168514482183,0.0380729872423IE00BH65QH62_IE00BFRTDB69_IE00B1S74Q32,0.0264055374961,0.16831187916,0.0380575484518IE00BH65QH62_IE00BFRTDB69_IE00B1S74Q32,0.0191762015914,-0.0295878454703,0.0278424601544
IE00B50MZ724_IE00B50MZ948_IE00BH65QH62,0.0118597162363,-0.407014177994,0.0200000005008IE00B50MZ724_IE00B50MZ948_IE00BH65QH62,0.0222239937701,0.0555998422575,0.0400000014361IE00B50MZ724_IE00B50MZ948_IE00BH65QH62,0.046637820894,0.270197262367,0.0985865684228IE00B50MZ724_IE00B50MZ948_IE00BH65QH62,0.0383670438887,0.204533893455,0.0897995123372
GB00BD3RZ368_IE00B3X1NT05_IE00B523L313,0.0768737835395,0.539003079027,0.105516620874GB00BD3RZ368_IE00B3X1NT05_IE00B523L313,0.0768733184051,0.538998671306,0.105516620787GB00BD3RZ368_IE00B3X1NT05_IE00B523L313,0.0837995386254,0.591477640117,0.107864666892GB00BD3RZ368_IE00B3X1NT05_IE00B523L313,0.0789816628391,0.550845777115,0.107074729969
IE00B3X1NT05_IE00BFRTDB69_IE00B9M1BB17,0.0237501427005,0.187507094895,0.0200000042803IE00B3X1NT05_IE00BFRTDB69_IE00B9M1BB17,0.0359112588843,0.397781465893,0.0400000006249IE00B3X1NT05_IE00BFRTDB69_IE00B9M1BB17,0.0416608470201,0.419602439056,0.0516223096053IE00B3X1NT05_IE00BFRTDB69_IE00B9M1BB17,0.0378397292209,0.406964172318,0.0438361173645
IE00B3X1NT05_IE00BH65QH62_IE00BFRTDB69,0.018230442529,-0.0884778735387,0.0200000000026IE00B3X1NT05_IE00BH65QH62_IE00BFRTDB69,0.0321670291033,0.304175727315,0.0400000000352IE00B3X1NT05_IE00BH65QH62_IE00BFRTDB69,0.0419707062579,0.375495427564,0.0585112484602IE00B3X1NT05_IE00BH65QH62_IE00BFRTDB69,0.0324476271056,0.29479062998,0.042225314646
IE00B50MZ724_IE00B523L313_GB00B5B71Q71,0.111333675126,0.763615410054,0.119606904109IE00B50MZ724_IE00B523L313_GB00B5B71Q71,0.111334008337,0.763618198211,0.119606903752IE00B50MZ724_IE00B523L313_GB00B5B71Q71,0.113636406825,0.746984492916,0.125352544414IE00B50MZ724_IE00B523L313_GB00B5B71Q71,0.108108131594,0.702779357748,0.125370972586
GB00B5B71Q71_IE00BFRTDB69_IE00B9M1BB17,0.0258861206022,0.294306021491,0.0200000005855GB00B5B71Q71_IE00BFRTDB69_IE00B9M1BB17,0.0455838824878,0.639595762566,0.0400000812781GB00B5B71Q71_IE00BFRTDB69_IE00B9M1BB17,0.0645750198724,0.689074629588,0.0646882325345GB00B5B71Q71_IE00BFRTDB69_IE00B9M1BB17,0.0576005372508,0.678074265274,0.0554519455706
GB00B5B71H80_IE00B50MZ948_IE00B1S74Q32,0.0412748782752,0.384193903005,0.0553753667322GB00B5B71H80_IE00B50MZ948_IE00B1S74Q32,0.0412748691302,0.384193738107,0.0553753666966GB00B5B71H80_IE00B50MZ948_IE00B1S74Q32,0.0412296181305,0.299193050542,0.0709562541376GB00B5B71H80_IE00B50MZ948_IE00B1S74Q32,0.0404936606709,0.251320390363,0.0815439632305
IE00B523L313_IE00BH65QH62_IE00B9M1BB17,0.0231185638027,0.155928185319,0.020000000618IE00B523L313_IE00BH65QH62_IE00B9M1BB17,0.0405170779482,0.512926946442,0.0400000001765IE00B523L313_IE00BH65QH62_IE00B9M1BB17,0.0540801492102,0.590564950525,0.0577077071368IE00B523L313_IE00BH65QH62_IE00B9M1BB17,0.0417026218686,0.510334014788,0.0425263087307
IE00B50MZ948_IE00BFRTDB69_IE00B1S75374,0.0146287721176,-0.180078706089,0.0298271128169IE00B50MZ948_IE00BFRTDB69_IE00B1S75374,0.0225198012976,0.0629950315741,0.0400000005503IE00B50MZ948_IE00BFRTDB69_IE00B1S75374,0.0281013138313,0.125812833882,0.0643917920086IE00B50MZ948_IE00BFRTDB69_IE00B1S75374,0.0271188874956,0.110766179123,0.0642695049331
IE00B3X1NT05_IE00BH65QH62_IE00BDFB7639,0.0261575139397,0.30787569695,0.0200000000021IE00B3X1NT05_IE00BH65QH62_IE00BDFB7639,0.0354730958212,0.386827082764,0.0400000323417IE00B3X1NT05_IE00BH65QH62_IE00BDFB7639,0.0425205164995,0.409307793209,0.0550209814549IE00B3X1NT05_IE00BH65QH62_IE00BDFB7639,0.0352976824819,0.346822521854,0.0441081000164
IE00B3X1NT05_GB00B4M89245_IE00BDFB7639,0.0307018639381,0.535093195471,0.0200000000537IE00B3X1NT05_GB00B4M89245_IE00BDFB7639,0.042845451861,0.571136291835,0.0400000003286IE00B3X1NT05_GB00B4M89245_IE00BDFB7639,0.0516981304459,0.564580366703,0.0561445851032IE00B3X1NT05_GB00B4M89245_IE00BDFB7639,0.051799301073,0.562648579508,0.0565171622771
